id,s,t,h,r1,r2
844,94,811,6647,0.34544,0.34544
845,292,407,379,0.36871,0.36871
846,43,380,6469,0.267,0.267
847,203,409,14439,0.71137,0.71137
848,498,576,3507,0.29434,0.29434
849,91,508,8604,0.33015,0.33015
850,205,943,15406,0.65777,0.65777
851,803,21,16349,0.61002,0.61002
852,683,416,15327,0.45659,0.45659
853,229,94,16715,0.21913,0.21913
854,80,961,11276,0.48273,0.48273
855,475,365,17263,0.58579,0.58579
856,747,90,919,0.80248,0.80248
857,19,628,13291,0.18086,0.18086
858,751,794,17092,0.61211,0.61211
859,885,482,18921,0.65818,0.65818
860,293,283,13403,0.77922,0.77922
861,766,388,3177,0.2132,0.2132
862,892,853,4467,0.43611,0.43611
863,840,340,5255,0.81828,0.81828
864,215,135,18945,0.86296,0.86296
865,85,486,12452,0.1441,0.1441
866,592,576,8195,0.9676,0.9676
867,888,932,12289,0.17053,0.17053
868,946,508,12971,0.61183,0.61183
869,642,273,9903,0.14407,0.14407
870,117,463,2237,1.03231,1.03231
871,496,247,18924,0.5473,0.5473
872,21,713,9803,0.92128,0.92128
873,700,126,18523,0.52685,0.52685
874,150,540,9126,0.40885,0.40885
875,466,337,11461,1.13773,1.13773
876,867,651,6455,0.70099,0.70099
877,172,325,14957,0.53807,0.53807
878,697,576,4071,1.04047,1.04047
879,146,563,2149,0.21662,0.21662
880,157,272,17997,0.28021,0.28021
881,999,580,4103,0.48768,0.48768
882,637,895,15454,0.6723,0.6723
883,343,169,13414,0.25667,0.25667
884,532,517,11982,0.29844,0.29844
885,717,787,7574,0.92147,0.92147
886,116,123,9309,0.78564,0.78564
887,613,329,2091,0.86243,0.86243
888,596,950,17937,0.73942,0.73942
889,785,433,6234,0.76438,0.76438
890,680,956,7160,0.60304,0.60304
891,734,695,16007,0.60974,0.60974
892,484,338,12182,0.36949,0.36949
893,467,157,1533,0.32405,0.32405
894,747,882,3758,0.68873,0.68873
895,605,851,6821,0.32523,0.32523
896,927,215,15453,0.32475,0.32475
897,674,512,10266,0.73641,0.73641
898,202,843,10555,0.58236,0.58236
899,209,116,16014,0.7151,0.7151
900,613,917,11917,0.63953,0.63953
901,402,988,6294,0.40601,0.40601
902,931,329,468,0.48382,0.48382
903,66,700,19337,0.59162,0.59162
904,123,457,11847,0.83578,0.83578
905,495,811,8242,0.53104,0.53104
906,760,549,400,0.32244,0.32244
907,480,980,8511,0.89675,0.89675
908,105,168,13063,0.41272,0.41272
909,842,843,17856,0.38903,0.38903
910,112,449,14661,0.17404,0.17404
911,517,677,802,0.62717,0.62717
912,733,773,1359,1.04229,1.04229
913,190,588,6470,0.40337,0.40337
914,579,831,18319,0.51566,0.51566
915,527,200,14342,0.41943,0.41943
916,383,740,14326,0.3771,0.3771
917,250,47,14816,0.26331,0.26331
918,279,801,12436,0.02133,0.02133
919,662,470,4348,0.85784,0.85784
920,947,63,1062,0.507,0.507
921,941,885,16921,0.4207,0.4207
922,93,121,1709,0.2493,0.2493
923,500,503,15463,0.12337,0.12337
924,199,549,17612,0.24651,0.24651
925,339,949,13334,0.73952,0.73952
926,123,670,10283,0.29016,0.29016
927,815,488,3297,0.11877,0.11877
928,783,278,12474,0.83858,0.83858
929,209,112,11532,0.93627,0.93627
930,16,318,19160,0.30068,0.30068
931,705,413,1091,0.5229,0.5229
932,194,103,16948,0.40828,0.40828
933,567,247,7819,0.48439,0.48439
934,941,429,16682,0.36191,0.36191
935,971,837,4898,0.77479,0.77479
936,279,18,2018,0.1896,0.1896
937,486,576,492,0.12584,0.12584
938,492,153,19054,0.9253,0.9253
939,84,458,13292,0.63148,0.63148
940,376,628,114,0.25164,0.25164
941,38,670,6234,0.69827,0.69827
942,513,868,14534,0.21956,0.21956
943,299,508,4019,0.40016,0.40016
944,543,374,5635,0.88336,0.88336
945,393,180,16840,0.63167,0.63167
946,745,622,826,0.434,0.434
947,842,738,5117,0.48304,0.48304
948,234,11,15723,0.45835,0.45835
949,672,615,13815,0.15273,0.15273
950,663,782,17633,0.52895,0.52895
951,45,367,4004,0.86005,0.86005
952,158,462,10171,0.32113,0.32113
953,722,416,18855,1.00894,1.00894
954,791,438,10049,0.70956,0.70956
955,727,896,16823,0.24516,0.24516
956,807,559,834,0.28072,0.28072
957,879,445,8505,0.29254,0.29254
958,119,416,3950,0.91335,0.91335
959,284,21,18737,0.70086,0.70086
960,713,671,6789,0.31086,0.31086
961,448,457,17216,0.84893,0.84893
962,643,388,8453,0.46561,0.46561
963,560,707,11326,0.3546,0.3546
964,588,707,12674,0.24514,0.24514
965,175,4,15810,0.26531,0.26531
966,921,692,15681,0.49034,0.49034
967,300,594,15045,0.78897,0.78897
968,339,387,6703,0.22474,0.22474
969,619,69,19051,0.05289,0.05289
970,757,513,17350,0.5745,0.5745
971,667,775,6659,0.61709,0.61709
972,695,357,7274,0.90838,0.90838
973,346,286,6438,0.46057,0.46057
974,595,403,16957,0.09488,0.09488
975,691,509,14822,0.7382,0.7382
976,468,539,16337,0.53074,0.53074
977,865,619,2855,0.46289,0.46289
978,733,737,12462,0.53966,0.53966
979,453,4,16888,0.34419,0.34419
980,489,494,2125,0.64227,0.64227
981,300,534,610,0.70106,0.70106
982,801,550,8508,0.66169,0.66169
983,606,541,7222,0.67139,0.67139
984,428,808,9141,0.99131,0.99131
985,428,871,15363,1.17352,1.17352
986,118,951,2237,0.3868,0.3868
987,367,803,11148,0.77031,0.77031
988,809,831,432,0.48851,0.48851
989,941,817,6959,0.37241,0.37241
990,139,372,15315,0.48186,0.48186
991,967,402,5132,0.61698,0.61698
992,809,43,3441,0.26164,0.26164
993,655,194,742,0.48269,0.48269
994,871,250,6340,0.27895,0.27895
995,330,976,4814,0.37239,0.37239
996,350,93,16496,0.60126,0.60126
997,327,669,4034,0.48778,0.48778
998,874,486,12454,0.48308,0.48308
999,964,630,18289,0.498,0.498
